[ultrawidescaledtail10_e750_s48] ep 012/750 train_loss=1.3825 val_raw=78.48 val_ema=10.52 best_raw=78.80@11 best_ema=10.54@10 lr=0.09998 time=7.3s
[ultrawidescaledtail10_e750_s46] ep 012/750 train_loss=1.3603 val_raw=80.66 val_ema=10.08 best_raw=80.66@12 best_ema=10.08@4 lr=0.09998 time=7.5s
[ultrawidescaledtail10_e750_s47] ep 012/750 train_loss=1.3574 val_raw=76.54 val_ema=10.08 best_raw=77.60@11 best_ema=10.08@2 lr=0.09998 time=7.1s
[ultrawidescaledtail10_e750_s44] ep 012/750 train_loss=1.4179 val_raw=78.00 val_ema=10.08 best_raw=78.00@12 best_ema=13.88@1 lr=0.09998 time=7.2s
[ultrawidescaledtail10_e750_s43] ep 012/750 train_loss=1.4357 val_raw=75.94 val_ema=11.46 best_raw=79.38@10 best_ema=12.54@3 lr=0.09998 time=7.8s
[ultrawidescaledtail10_e750_s45] ep 012/750 train_loss=1.3751 val_raw=77.84 val_ema=12.08 best_raw=77.84@12 best_ema=12.08@12 lr=0.09998 time=7.5s
[ultrawidescaledtail10_e750_s49] ep 013/750 train_loss=1.3384 val_raw=81.64 val_ema=10.86 best_raw=81.64@13 best_ema=10.86@13 lr=0.09997 time=7.4s
[ultrawidescaledtail10_e750_s42] ep 013/750 train_loss=1.3390 val_raw=80.46 val_ema=9.96 best_raw=80.46@13 best_ema=10.62@1 lr=0.09997 time=7.5s
[ultrawidescaledtail10_e750_s48] ep 013/750 train_loss=1.3633 val_raw=80.64 val_ema=12.46 best_raw=80.64@13 best_ema=12.46@13 lr=0.09997 time=7.2s
[ultrawidescaledtail10_e750_s46] ep 013/750 train_loss=1.3754 val_raw=79.80 val_ema=10.64 best_raw=80.66@12 best_ema=10.64@13 lr=0.09997 time=7.5s
[ultrawidescaledtail10_e750_s47] ep 013/750 train_loss=1.3931 val_raw=76.70 val_ema=10.08 best_raw=77.60@11 best_ema=10.08@2 lr=0.09997 time=7.4s
[ultrawidescaledtail10_e750_s44] ep 013/750 train_loss=1.3813 val_raw=80.98 val_ema=10.42 best_raw=80.98@13 best_ema=13.88@1 lr=0.09997 time=7.7s
[ultrawidescaledtail10_e750_s43] ep 013/750 train_loss=1.4017 val_raw=79.50 val_ema=12.20 best_raw=79.50@13 best_ema=12.54@3 lr=0.09997 time=7.3s
[ultrawidescaledtail10_e750_s45] ep 013/750 train_loss=1.4295 val_raw=79.92 val_ema=10.44 best_raw=79.92@13 best_ema=12.08@12 lr=0.09997 time=7.9s
[ultrawidescaledtail10_e750_s49] ep 014/750 train_loss=1.3269 val_raw=80.98 val_ema=11.94 best_raw=81.64@13 best_ema=11.94@14 lr=0.09996 time=7.7s
[ultrawidescaledtail10_e750_s42] ep 014/750 train_loss=1.3871 val_raw=80.76 val_ema=10.38 best_raw=80.76@14 best_ema=10.62@1 lr=0.09996 time=7.7s
[ultrawidescaledtail10_e750_s48] ep 014/750 train_loss=1.3473 val_raw=80.78 val_ema=14.86 best_raw=80.78@14 best_ema=14.86@14 lr=0.09996 time=7.3s
[ultrawidescaledtail10_e750_s46] ep 014/750 train_loss=1.3451 val_raw=82.52 val_ema=17.30 best_raw=82.52@14 best_ema=17.30@14 lr=0.09996 time=7.4s
[ultrawidescaledtail10_e750_s47] ep 014/750 train_loss=1.3325 val_raw=78.88 val_ema=10.16 best_raw=78.88@14 best_ema=10.16@14 lr=0.09996 time=7.6s
[ultrawidescaledtail10_e750_s44] ep 014/750 train_loss=1.4040 val_raw=79.60 val_ema=10.46 best_raw=80.98@13 best_ema=13.88@1 lr=0.09996 time=7.3s
[ultrawidescaledtail10_e750_s43] ep 014/750 train_loss=1.3296 val_raw=81.36 val_ema=24.46 best_raw=81.36@14 best_ema=24.46@14 lr=0.09996 time=7.8s
[ultrawidescaledtail10_e750_s45] ep 014/750 train_loss=1.3766 val_raw=79.62 val_ema=10.76 best_raw=79.92@13 best_ema=12.08@12 lr=0.09996 time=7.5s
[ultrawidescaledtail10_e750_s49] ep 015/750 train_loss=1.4068 val_raw=82.90 val_ema=10.48 best_raw=82.90@15 best_ema=11.94@14 lr=0.09996 time=7.3s
[ultrawidescaledtail10_e750_s48] ep 015/750 train_loss=1.3209 val_raw=80.84 val_ema=26.58 best_raw=80.84@15 best_ema=26.58@15 lr=0.09996 time=7.1s
[ultrawidescaledtail10_e750_s42] ep 015/750 train_loss=1.3543 val_raw=81.48 val_ema=19.44 best_raw=81.48@15 best_ema=19.44@15 lr=0.09996 time=8.0s
[ultrawidescaledtail10_e750_s46] ep 015/750 train_loss=1.3995 val_raw=80.20 val_ema=20.40 best_raw=82.52@14 best_ema=20.40@15 lr=0.09996 time=7.3s
[ultrawidescaledtail10_e750_s47] ep 015/750 train_loss=1.3651 val_raw=78.36 val_ema=13.24 best_raw=78.88@14 best_ema=13.24@15 lr=0.09996 time=7.7s
[ultrawidescaledtail10_e750_s44] ep 015/750 train_loss=1.3091 val_raw=82.82 val_ema=13.00 best_raw=82.82@15 best_ema=13.88@1 lr=0.09996 time=7.5s
[ultrawidescaledtail10_e750_s43] ep 015/750 train_loss=1.3170 val_raw=76.56 val_ema=24.56 best_raw=81.36@14 best_ema=24.56@15 lr=0.09996 time=7.4s
[ultrawidescaledtail10_e750_s45] ep 015/750 train_loss=1.3860 val_raw=80.40 val_ema=16.60 best_raw=80.40@15 best_ema=16.60@15 lr=0.09996 time=8.0s
[ultrawidescaledtail10_e750_s49] ep 016/750 train_loss=1.3452 val_raw=83.74 val_ema=15.94 best_raw=83.74@16 best_ema=15.94@16 lr=0.09995 time=8.0s
[ultrawidescaledtail10_e750_s48] ep 016/750 train_loss=1.3799 val_raw=81.40 val_ema=26.24 best_raw=81.40@16 best_ema=26.58@15 lr=0.09995 time=7.1s
[ultrawidescaledtail10_e750_s42] ep 016/750 train_loss=1.2686 val_raw=81.62 val_ema=21.94 best_raw=81.62@16 best_ema=21.94@16 lr=0.09995 time=7.3s
[ultrawidescaledtail10_e750_s46] ep 016/750 train_loss=1.3917 val_raw=83.14 val_ema=29.84 best_raw=83.14@16 best_ema=29.84@16 lr=0.09995 time=7.1s
[ultrawidescaledtail10_e750_s47] ep 016/750 train_loss=1.3933 val_raw=76.70 val_ema=15.72 best_raw=78.88@14 best_ema=15.72@16 lr=0.09995 time=7.7s
[ultrawidescaledtail10_e750_s44] ep 016/750 train_loss=1.3540 val_raw=81.38 val_ema=13.48 best_raw=82.82@15 best_ema=13.88@1 lr=0.09995 time=7.9s
